d1,d2,d1d2,angle
27,34,2734,106.714699156
27,35,2735,95.4394398725
27,36,2736,84.0028449279
27,37,2737,72.7445942227
27,38,2738,62.0585322164
27,39,2739,123.85303048
27,40,2740,114.947192314
27,41,2741,104.937025989
27,42,2742,94.368219414
27,43,2743,83.6491809573
27,44,2744,73.1504595978
27,45,2745,63.2980409126
27,46,2746,54.6747502818
27,47,2747,48.1117137991
28,29,2829,148.395323212
28,30,2830,139.128193445
28,31,2831,127.526972136
28,33,2833,114.871373792
28,34,2834,101.733998795
28,35,2835,88.4124084603
28,36,2836,75.1143608196
28,37,2837,62.0585322164
28,38,2838,49.5852566056
28,39,2839,135.307487112
28,40,2840,123.85303048
28,41,2841,111.424482508
28,42,2842,98.5453294633
28,43,2843,85.5139004593
28,44,2844,72.5606601252
28,45,2845,59.9503142159
28,46,2846,48.1117137991
28,47,2847,37.8977118394
29,30,2930,15.0
29,31,2931,30.0
29,33,2933,45.0
29,34,2934,60.0
29,35,2935,75.0
29,36,2936,90.0
29,37,2937,105.0
29,38,2938,120.0
29,39,2939,16.3280765791
29,40,2940,24.6479709916
29,41,2941,37.2343116272
29,42,2942,51.0095647237
29,43,2943,65.2073716972
29,44,2944,79.57764368
29,45,2945,94.0058136339
29,46,2946,108.412594853
29,47,2947,122.706266762
30,31,3031,15.0
30,33,3033,30.0
30,34,3034,45.0
30,35,3035,60.0
30,36,3036,75.0
30,37,3037,90.0
30,38,3038,105.0
30,39,3039,24.6479709916
30,40,3040,23.1709023595
30,41,3041,29.872934483
30,42,3042,40.9015853478
30,43,3043,53.6277028886
30,44,3044,67.0573256256
30,45,3045,80.7916324965
30,46,3046,94.6267746455
30,47,3047,108.412594853
31,33,3133,15.0
31,34,3134,30.0
31,35,3135,45.0
31,36,3136,60.0
31,37,3137,75.0
31,38,3138,90.0
31,39,3139,37.2343116272
31,40,3140,29.872934483
31,41,3141,28.4776800942
31,42,3142,33.801374258
31,43,3143,43.4220648092
31,44,3144,55.0995663393
31,45,3145,67.7280647329
31,46,3146,80.7916324965
31,47,3147,94.0058136339
33,34,3334,15.0
33,35,3335,30.0
33,36,3336,45.0
33,37,3337,60.0
33,38,3338,75.0
33,39,3339,51.0095647237
33,40,3340,40.9015853478
33,41,3341,33.801374258
33,42,3342,31.8451053433
33,43,3343,35.894926382
33,44,3344,44.3155634388
33,45,3345,55.0995663393
33,46,3346,67.0573256256
33,47,3347,79.57764368
34,35,3435,15.0
34,36,3436,30.0
34,37,3437,45.0
34,38,3438,60.0
34,39,3439,65.2073716972
34,40,3440,53.6277028886
34,41,3441,43.4220648092
34,42,3442,35.894926382
34,43,3443,33.0
34,44,3444,35.894926382
34,45,3445,43.4220648092
34,46,3446,53.6277028886
34,47,3447,65.2073716972
35,36,3536,15.0
35,37,3537,30.0
35,38,3538,45.0
35,39,3539,79.57764368
35,40,3540,67.0573256256
35,41,3541,55.0995663393
35,42,3542,44.3155634388
35,43,3543,35.894926382
35,44,3544,31.8451053433
35,45,3545,33.801374258
35,46,3546,40.9015853478
35,47,3547,51.0095647237
36,37,3637,15.0
36,38,3638,30.0
36,39,3639,94.0058136339
36,40,3640,80.7916324965
36,41,3641,67.7280647329
36,42,3642,55.0995663393
36,43,3643,43.4220648092
36,44,3644,33.801374258
36,45,3645,28.4776800942
36,46,3646,29.872934483
36,47,3647,37.2343116272
37,38,3738,15.0
37,39,3739,108.412594853
37,40,3740,94.6267746455
37,41,3741,80.7916324965
37,42,3742,67.0573256256
37,43,3743,53.6277028886
37,44,3744,40.9015853478
37,45,3745,29.872934483
37,46,3746,23.1709023595
37,47,3747,24.6479709916
38,39,3839,122.706266762
38,40,3840,108.412594853
38,41,3841,94.0058136339
38,42,3842,79.57764368
38,43,3843,65.2073716972
38,44,3844,51.0095647237
38,45,3845,37.2343116272
38,46,3846,24.6479709916
38,47,3847,16.3280765791
39,40,3940,15.0
39,41,3941,30.0
39,42,3942,45.0
39,43,3943,60.0
39,44,3944,75.0
39,45,3945,90.0
39,46,3946,105.0
39,47,3947,120.0
40,41,4041,15.0
40,42,4042,30.0
40,43,4043,45.0
40,44,4044,60.0
40,45,4045,75.0
40,46,4046,90.0
40,47,4047,105.0
41,42,4142,15.0
41,43,4143,30.0
41,44,4144,45.0
41,45,4145,60.0
41,46,4146,75.0
41,47,4147,90.0
42,43,4243,15.0
42,44,4244,30.0
42,45,4245,45.0
42,46,4246,60.0
42,47,4247,75.0
43,44,4344,15.0
43,45,4345,30.0
43,46,4346,45.0
43,47,4347,60.0
44,45,4445,15.0
44,46,4446,30.0
44,47,4447,45.0
45,46,4546,15.0
45,47,4547,30.0
46,47,4647,15.0
